userId,itemId
5197,177
5183,460
2920,997
3733,72
4076,1234
3311,651
4123,148
1936,89
926,343
3523,862
3647,2463
698,1203
4139,1225
4378,203
745,317
2258,437
3260,2493
1898,409
3370,189
4921,1499
4182,390
5459,520
2257,35
3052,2155
5001,218
4246,1474
1305,351
405,559
4063,530
1911,2019
5404,1268
623,663
1265,985
2759,15
1139,3431
354,2139
271,196
1956,259
5554,808
3831,766
3711,896
4496,1144
4143,587
3944,3651
325,1301
3376,91
213,1657
695,1234
5852,2016
2906,2828
1425,1381
1682,64
3407,989
5748,1272
5366,246
5529,1304
5240,129
4868,767
5753,283
4867,539
1850,1773
3313,2003
1067,923
2664,2370
2062,1000
3535,993
2975,689
5641,580
1140,939
2846,192
480,676
1654,808
3609,1494
4660,644
3411,545
4123,1744
787,1095
215,1558
903,1245
4219,1068
2680,793
2115,2067
1684,1049
3375,372
2214,2492
2120,661
198,1360
4687,881
2009,1097
3147,275
5418,922
521,767
4288,177
4564,1185
5052,646
4950,2102
3588,180
1835,459
1368,2470
2591,44
1487,1158
1099,1216
1564,3150
3686,937
4490,51
5382,41
3188,810
5045,145
4084,1038
842,203
2690,101
3625,1273
636,711
3840,1462
1504,75
1194,518
3000,390
3091,833
5790,547
3017,1001
172,652
325,2416
1466,308
2975,2352
807,2388
5556,317
3918,32
3389,2032
2917,1942
4634,319
4385,2454
5081,435
1919,1310
5674,702
2890,881
980,15
3952,195
4004,2850
5247,200
147,1492
4823,134
3058,116
4226,433
689,454
853,500
771,62
1342,1365
2940,619
3966,183
3328,694
1508,545
4031,1251
751,308
2182,231
5915,628
4935,149
6006,1256
3870,1199
342,1346
1735,1374
851,41
854,88
3722,1387
4410,1952
3556,138
909,92
2872,33
969,352
2108,569
683,1385
5474,737
3419,280
3842,1595
4529,1517
3966,18
1469,2229
1688,93
4232,646
2457,206
3482,167
4568,83
3777,1217
1775,58
1202,343
3854,1665
1541,1173
299,2818
3992,19
2725,559
4600,147
821,1487
3650,1832
2260,908
192,1928
5575,1022
5802,786
3226,1642
1365,406
734,999
528,1251
898,383
1149,2153
313,925
4556,2577
5007,539
892,955
4962,109
144,873
3064,2497
3647,265
1551,1644
1740,144
717,1138
1711,76
4584,210
1551,18
4480,1911
1310,107
2906,641
4168,575
1665,472
1382,17
5097,1568
3525,2511
4866,641
1118,388
91,478
1716,1457
3041,1174
5596,2556
2681,564
4464,2474
5176,132
2503,1285
2506,39
5635,1917
1805,30
2091,2128
5152,698
4057,926
4082,93
112,406
3609,556
2072,688
234,1738
3401,1663
1003,604
888,968
3945,551
4704,1459
5786,611
1184,480
3834,376
5877,760
2730,716
5602,116
1361,189
